255	255	244
112	112	109
245	243	233
204	201	186
237	234	221
236	224	169
227	223	207
36	35	32
94	91	85
143	137	126
255	208	138
255	197	108
255	171	45
210	151	63
184	125	37
177	73	41
68	74	160
157	157	161
255	251	240
181	203	223
249	237	187
236	200	112
196	209	215
121	127	130
